Playlist,Curator,Followers,28-Day Change,28-Day Add,Genres,Personalized,Track Age,Playlist Updated,Playlist ID,Playlist Url,Spotify Playlist ID,Spotify Playlist URL,Curator ID,Curator URL,Spotify Curator ID,Spotify Curator URL
Today's Top Hits,Spotify,32.75M,232541,100%,"Pop, Hip-Hop/Rap, R&B/Soul",No,frontline,"Jan 20, 2023",1645080,/playlist/spotify?id=1645080,37i9dQZF1DXcBWIGoYBM5M,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXcBWIGoYBM5M,2,/curator/spotify?id=1645080,spotify,https://open.spotify.com/user/spotify
RapCaviar,Spotify,14.96M,74627,100%,"Hip-Hop/Rap, Pop, Singer/Songwriter",No,frontline,"Jan 20, 2023",848051,/playlist/spotify?id=848051,37i9dQZF1DX0XUsuxWHRQd,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX0XUsuxWHRQd,2,/curator/spotify?id=848051,spotify,https://open.spotify.com/user/spotify
All Out 2000s,Spotify,10.50M,45118,94%,"Pop, Hip-Hop/Rap, R&B/Soul",Yes,catalogue,"Jan 18, 2023",1644626,/playlist/spotify?id=1644626,37i9dQZF1DX4o1oenSJRJd,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX4o1oenSJRJd,2,/curator/spotify?id=1644626,spotify,https://open.spotify.com/user/spotify
Beast Mode,Spotify,9.58M,90118,99%,"Hip-Hop/Rap, Dance, Pop",No,mixed,"Jan 14, 2023",1644661,/playlist/spotify?id=1644661,37i9dQZF1DX76Wlfdnj7AP,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX76Wlfdnj7AP,2,/curator/spotify?id=1644661,spotify,https://open.spotify.com/user/spotify
Chill Hits,Spotify,7.70M,76410,98%,"Pop, R&B/Soul, Hip-Hop/Rap",No,mixed,"Jan 18, 2023",1644741,/playlist/spotify?id=1644741,37i9dQZF1DX4WYpdgoIcn6,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX4WYpdgoIcn6,2,/curator/spotify?id=1644741,spotify,https://open.spotify.com/user/spotify
All Out 2010s,Spotify,7.40M,59693,1%,"Pop, Hip-Hop/Rap, R&B/Soul",Yes,catalogue,"Jan 18, 2023",1746663,/playlist/spotify?id=1746663,37i9dQZF1DX5Ejj0EkURtP,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX5Ejj0EkURtP,2,/curator/spotify?id=1746663,spotify,https://open.spotify.com/user/spotify
I Love My '90s Hip-Hop,Spotify,7.38M,107978,63%,"Hip-Hop/Rap, R&B/Soul, Pop",Yes,catalogue,"Jan 15, 2023",983482,/playlist/spotify?id=983482,37i9dQZF1DX186v583rmzp,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX186v583rmzp,2,/curator/spotify?id=983482,spotify,https://open.spotify.com/user/spotify
Top Brasil,Spotify,7.22M,123686,100%,"Latin, Hip-Hop/Rap, Latin Hip-Hop/Rap",No,frontline,"Jan 19, 2023",1776041,/playlist/spotify?id=1776041,37i9dQZF1DX0FOF1IUWK1W,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX0FOF1IUWK1W,2,/curator/spotify?id=1776041,spotify,https://open.spotify.com/user/spotify
Study lofi 📚,Lofi Girl,6.93M,49465,100%,"Hip-Hop/Rap, Alternative, Instrumental",No,mixed,"Jan 20, 2023",1870135,/playlist/spotify?id=1870135,0vvXsWCC9xrXsKd4FyS8kM,https://open.spotify.com/user/chilledcow/playlist/0vvXsWCC9xrXsKd4FyS8kM,231899,/curator/spotify?id=1870135,chilledcow,https://open.spotify.com/user/chilledcow
Get Turnt,Spotify,6.47M,60485,98%,"Hip-Hop/Rap, R&B/Soul, Electronic",No,frontline,"Jan 20, 2023",1645088,/playlist/spotify?id=1645088,37i9dQZF1DWY4xHQp97fN6,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWY4xHQp97fN6,2,/curator/spotify?id=1645088,spotify,https://open.spotify.com/user/spotify
Are & Be,Spotify,6.10M,49335,8%,"R&B/Soul, Pop, Hip-Hop/Rap",No,frontline,"Jan 14, 2023",1645047,/playlist/spotify?id=1645047,37i9dQZF1DX4SBhb3fqCJd,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX4SBhb3fqCJd,2,/curator/spotify?id=1645047,spotify,https://open.spotify.com/user/spotify
Hit Rewind,Spotify,6.02M,40500,25%,"Pop, R&B/Soul, Hip-Hop/Rap",Yes,catalogue,"Jan 17, 2023",977243,/playlist/spotify?id=977243,37i9dQZF1DX0s5kDXi1oC5,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX0s5kDXi1oC5,2,/curator/spotify?id=977243,spotify,https://open.spotify.com/user/spotify
Top Gaming Tracks,Spotify,4.95M,71314,100%,"Hip-Hop/Rap, Pop, Electronic",No,mixed,"Jan 20, 2023",1644230,/playlist/spotify?id=1644230,37i9dQZF1DWTyiBJ6yEqeu,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWTyiBJ6yEqeu,2,/curator/spotify?id=1644230,spotify,https://open.spotify.com/user/spotify
lofi beats,Spotify,4.89M,37727,100%,"Hip-Hop/Rap, Instrumental, Easy Listening",No,frontline,"Jan 20, 2023",1736631,/playlist/spotify?id=1736631,37i9dQZF1DWWQRwui0ExPn,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWWQRwui0ExPn,2,/curator/spotify?id=1736631,spotify,https://open.spotify.com/user/spotify
Party Hits,Spotify,4.32M,70526,93%,"Pop, Hip-Hop/Rap, Electronic",Yes,mixed,"Jan 17, 2023",2295293,/playlist/spotify?id=2295293,37i9dQZF1DXa2PvUpywmrr,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXa2PvUpywmrr,2,/curator/spotify?id=2295293,spotify,https://open.spotify.com/user/spotify
I Love My '00s R&B,Spotify,4.21M,38169,0%,"R&B/Soul, Pop, Hip-Hop/Rap",Yes,catalogue,"Jan 13, 2023",978494,/playlist/spotify?id=978494,37i9dQZF1DWYmmr74INQlb,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWYmmr74INQlb,2,/curator/spotify?id=978494,spotify,https://open.spotify.com/user/spotify
Power Workout,Spotify,4.12M,30707,4%,"Hip-Hop/Rap, Pop, Latin Hip-Hop/Rap",No,mixed,"Jan 16, 2023",1644663,/playlist/spotify?id=1644663,37i9dQZF1DWUVpAXiEPK8P,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWUVpAXiEPK8P,2,/curator/spotify?id=1644663,spotify,https://open.spotify.com/user/spotify
New Music Friday,Spotify,4.04M,16676,100%,"Pop, Hip-Hop/Rap, Alternative",No,frontline,"Jan 20, 2023",1645898,/playlist/spotify?id=1645898,37i9dQZF1DX4JAvHpjipBk,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX4JAvHpjipBk,2,/curator/spotify?id=1645898,spotify,https://open.spotify.com/user/spotify
phonk,Spotify,4.03M,400924,16%,"Electronic, Hip-Hop/Rap, Dance",No,frontline,"Jan 19, 2023",2810255,/playlist/spotify?id=2810255,37i9dQZF1DWWY64wDtewQt,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWWY64wDtewQt,2,/curator/spotify?id=2810255,spotify,https://open.spotify.com/user/spotify
